algorithm,parallel,delta,graph_size,graph_density,n_threads,time,n_repeat
FloydParallel,1,-1,20;40,0.3;0.6,1,131.694,2
DijkstraParallel,1,-1,20;40,0.3;0.6,1,88.893,2
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.3;0.6,6,1375.89,2
FloydParallel,1,-1,20;40,0.3;0.6,1,128.924,2
DijkstraParallel,1,-1,20;40,0.3;0.6,1,68.964,2
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.3;0.6,12,1419.07,2
FloydParallel,1,-1,20;40,0.3;0.6,1,137.307,2
DijkstraParallel,1,-1,20;40,0.3;0.6,1,73.485,2
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.3;0.6,16,1398.47,2
FloydSequential,0,-1,20;40,0.15;0.6,1,73.961,2
FloydParallel,1,-1,20;40,0.15;0.6,1,120.66,2
DijkstraParallel,1,-1,20;40,0.15;0.6,1,74.97,2
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.15;0.6,6,1667.46,2
FloydParallel,1,-1,20;40,0.15;0.6,1,124.825,2
DijkstraParallel,1,-1,20;40,0.15;0.6,1,55.971,2
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.15;0.6,12,1703.41,2
FloydParallel,1,-1,20;40,0.15;0.6,1,130.361,2
DijkstraParallel,1,-1,20;40,0.15;0.6,1,60.285,2
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.15;0.6,16,1723.62,2
FloydSequential,0,-1,20;40,0.05;0.6,1,23.36,2
FloydParallel,1,-1,20;40,0.05;0.6,1,112.953,2
DijkstraParallel,1,-1,20;40,0.05;0.6,1,26.702,2
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.05;0.6,6,657.146,2
FloydParallel,1,-1,20;40,0.05;0.6,1,108.475,2
DijkstraParallel,1,-1,20;40,0.05;0.6,1,20.08,2
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.05;0.6,12,635.577,2
FloydParallel,1,-1,20;40,0.05;0.6,1,116.743,2
DijkstraParallel,1,-1,20;40,0.05;0.6,1,21.937,2
ParallelDeltaSteppingAllTerminal,1,1,20;40,0.05;0.6,16,650.534,2
FloydSequential,0,-1,30;60,0.3;0.6,1,1726.38,2
FloydParallel,1,-1,30;60,0.3;0.6,1,1501.26,2
DijkstraParallel,1,-1,30;60,0.3;0.6,1,816.908,2
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.3;0.6,6,6279.41,2
FloydParallel,1,-1,30;60,0.3;0.6,1,1348.8,2
DijkstraParallel,1,-1,30;60,0.3;0.6,1,582.16,2
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.3;0.6,12,6619.05,2
FloydParallel,1,-1,30;60,0.3;0.6,1,1403.3,2
DijkstraParallel,1,-1,30;60,0.3;0.6,1,589.355,2
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.3;0.6,16,6580.01,2
FloydSequential,0,-1,30;60,0.15;0.6,1,1148.85,2
FloydParallel,1,-1,30;60,0.15;0.6,1,1403.93,2
DijkstraParallel,1,-1,30;60,0.15;0.6,1,552.56,2
ParallelDeltaSteppingAllTerminal,1,1,30;60,0.15;0.6,6,7538.46,2
FloydParallel,1,-1,30;60,0.15;0.6,1,1195.59,2
DijkstraParallel,1,-1,30;60,0.15;0.6,1,391.22,2
